"Product ID","Active (0/1)","Name *","Categories (x,y,z...)","Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Low stock level","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x,y,z)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No, 1 = Yes)","Product available date","Product creation date","Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No, 1 = Yes)","Condition","Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
"NULL","1","GUARDACHOQUE POSTERIOR NISSAN X-TRAIL ",",500018","0","1","0","1","","","NISSAN","X-TRAIL","1714121700","85022-6FL0H","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS04428BB","","","","","","0","1","","","","1","","2017/","","85022-6FL0H,1714121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1714121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA FORD EXPLORER ",",500020","301.01","1","0","1","","","FORD","EXPLORER","1906111600","FB5Z-8200-BB","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","FD07419GD","","","","","","0","1","","","","5","","null","","FB5Z-8200-BB,1906111600","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1906111600.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA NISSAN X-TRAIL ",",500020","0","1","0","1","","","NISSAN","X-TRAIL","1914121700","62310-6FL0A","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS07380GA","","","","","","0","1","","","","5","","2017/","","62310-6FL0A,1914121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1914121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA NISSAN X-TRAIL ",",500020","0","1","0","1","","","NISSAN","X-TRAIL","1914121800","62254-6FL0A","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS07377GA","","","","","","0","1","","","","5","","2017/","","62254-6FL0A,1914121800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1914121800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR CHEVROLET SPARK BEAT ",",500021","0","1","0","1","","","CHEVROLET","SPARK BEAT","2003091800","42568878","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CV30121A","","","","","","0","1","","","","1","","2019/","","42568878,2003091800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2003091800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 ",",500021","0","1","0","1","","","MAZDA","CX 5","2013151700","KB7W-53-150B","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041AU","","","","","","0","1","","","","1","","2017/","","KB7W-53-150B,2013151700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 IZQUIERDO",",500021","0","1","0","1","","","MAZDA","CX 5","2013151701","KB7W-54-140","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041BL","","","","","","0","1","","","","1","","2017/","","KB7W-54-140,2013151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 DERECHO",",500021","0","1","0","1","","","MAZDA","CX 5","2013151702","KB7W-53-140","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041BR","","","","","","0","1","","","","1","","2017/","","KB7W-53-140,2013151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR VOLKSWAGEN GOL ",",500021","40.44","1","0","1","","","VOLKSWAGEN","GOL","2023019500-LHT","undefined","LOMA HERMOSA PLAST S.A.","LOMA HERMOSA PLAST S.A.","","LHT-06052022","","","","","","12","1","","","","1","","null","","undefined,2023019500-LHT","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2023019500-LHT.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079201-PK","80101-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D1","","","","","","0","1","","","","1","","1992/","","80101-85Y40,2314079201-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079201-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
